address line1,city,state province,postal code,latitude,longitude,known use,owner,owner type,bbl,area acres
        SOUTH CONDUIT AVENUE,,NY,0,40.6735810233387,-73.8590623887712,,New York City Department of Transportation,public,4113390016,0.0
254 ROCKAWAY AVENUE,,NY,11233,40.674481,-73.911409,,New York City Fire Department,public,3014480035,0.090495867768755400
        NORTH CONDUIT BLVD,,NY,0,40.6716633006297,-73.8511587215925,,New York City Department of Transportation,public,4113950001,0.0
1309 DE KALB AVENUE,,NY,11221,40.697689,-73.925951,,New York City Police Department,public,3032320049,0.022382920110232500
        PACIFIC STREET,,NY,11233,40.6753273783,-73.9143423869,,New York City Department of Education,public,3014400032,1.082920110194756400
48 WARSOFF PLACE,,NY,11205,40.6983346459,-73.9536582471,,New York City Department of Sanitation,public,3017180015,1.083562901746640000
        PROSPECT PLACE,,NY,0,40.6720571682,-73.9123182871,,New York City Department of Citywide Administrative Services,public,3014650029,0.042240587695208000
        NORTH CONDUIT AVENUE,,NY,0,40.6708826313255,-73.8488536014621,,New York City Department of Transportation,public,4113940030,0.0
648 BLAKE AVENUE,,NY,11207,40.667594,-73.895002,community garden,New York City Department of Education,public,3037880033,0.035812672176372000
496 GREENE AVENUE,,NY,11216,40.6882,-73.950833,community garden,New York City Housing Authority (NYCHA),public,3017980009,0.049173553719095400
        POWERS STREET,,,11211,40.712736547295584,-73.93971528232933,community garden,New York City Department of Parks and Recreation,public,,0.114526400367512399
        FOUNTAIN AVENUE,,NY,11208,40.6780749975364,-73.8753983475962,community garden,New York City Department of Parks and Recreation,public,3041560035,0.344352617080500000
        POWELL STREET,,NY,11212,40.6633611417226,-73.9018466271062,community garden,New York City Department of Parks and Recreation,public,3038140120,0.459136822774000000
        HINSDALE STREET,,NY,11207,40.6668940530218,-73.8991126973803,,New York City Department of Housing Preservation and Development,public,3037840127,0.344352617080500000
W152 ST,,NY,10031,40.829501131,-73.9430914381,community garden,New York City Department of Environmental Protection,public,1020670108,0.409343434344159700
404-16 EAST   12 STREET,,NY,10009,40.7293832294,-73.9830205532,community garden,New York City Department of Education,public,1004390010,0.829591368229201900
29 8 AVENUE,,NY,10014,40.7380166433,-74.0045358967,community garden,New York City Department of Parks and Recreation,public,1006250034,0.049678604224146800
        SOUTH CONDUIT AVENUE,,NY,0,40.670500206778,-73.8492311956638,,New York City Department of Transportation,public,4113940080,0.0
        SOUTH CONDUIT AVENUE,,NY,0,40.6695294337424,-73.845691650227,,New York City Department of Transportation,public,4114230001,0.0
128 WEST 127 STREET,,NY,10027,40.809489257393736,-73.94600808620453,,New York City Department of Citywide Administrative Services,public,1019110048,0.036730945821920000
123 WEST 129 STREET,,NY,10027,40.8109283082,-73.9445017298,,New York City Department of Citywide Administrative Services,public,1019140022,0.028673094582236300
112 WEST 130 STREET,,NY,10027,40.8110598366,-73.9440500613,,New York City Department of Citywide Administrative Services,public,1019140040,0.038223140495935500
113 WEST 136 STREET,,NY,10030,40.8153154022,-73.9410443285,,New York City Department of Citywide Administrative Services,public,1019210124,0.038223140495935500
317 WEST 126 STREET,,NY,10027,40.8113870423,-73.9513903626,,New York City Department of Citywide Administrative Services,public,1019530024,0.038223140495935500
        NORTH CONDUIT AVENUE,,NY,0,40.6697745795605,-73.8451171282152,,New York City Department of Transportation,public,4114230010,0.0
        NORTH CONDUIT AVENUE,,NY,0,40.6747345105311,-73.8606603106116,,New York City Department of Transportation,public,4091280070,1.915059687790354000
MAJ WM DEEGAN BLVD,,NY,,40.8297415744,-73.9332428438,,New York City Department of Transportation,public,2025390505,1.205234159781750000
1519 PLIMPTON AVENUE,,NY,10452,40.8453111682,-73.9214653827,,New York City Department of Transportation,public,2028750067,0.059067952249875100
68 WEST 116 STREET,,NY,10026,40.80181086656761,-73.94929111003876,,New York City Department of Housing Preservation and Development,public,1015990069,0.069513314967983600
881 BROOK AVENUE,,NY,10451,40.8229125399,-73.9107633093,,New York City Department of Housing Preservation and Development,public,2023650023,0.040495867768666800
1048 FAILE STREET,,NY,10459,40.8246341,-73.8893166036,,New York City Department of Housing Preservation and Development,public,2027480024,0.047061524334335000
BRUSH AVENUE,,NY,10465,40.8188485821,-73.8389395866,,New York City Department of Small Business Services,public,2056110028,0.237373737374158000
        HEMLOCK STREET,,NY,11208,40.6635257288,-73.8663350168,,New York City Department of Transportation,public,3045480112,0.581014692379358300
5968 MAJ WM DEEGAN BLVD,,NY,10451,40.8210087430536,-73.9324800614444,,New York City Department of Small Business Services,public,2025390001,
